"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number";"Exclude from BOM";"Projekt"
"J1";"Conn_02x20_Odd_Even";"Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical";"1";"";"";"";"";"Relaismodul"
"J2";"39502-1008";"SamacSys_Parts:SHDRRA8W80P0X350_1X8_2940X920X690P";"1";"Molex";"39502-1008";"538-39502-1008";"";"Relaismodul"
"J3";"658855603040";"SamacSys_Parts:658855603040";"1";"Wurth Elektronik";"658855603040";"710-658855603040";"";"Relaismodul"
"K1";"PCN-105D3MHZ";"SamacSys_Parts:PCN105D3MHZ";"1";"TE Connectivity";"PCN-105D3MHZ";"677-PCN-105D3MHZ";"";"Relaismodul"
"K2";"PCN-105D3MHZ";"SamacSys_Parts:PCN105D3MHZ";"1";"TE Connectivity";"PCN-105D3MHZ";"677-PCN-105D3MHZ";"";"Relaismodul"
"K3";"PCN-105D3MHZ";"SamacSys_Parts:PCN105D3MHZ";"1";"TE Connectivity";"PCN-105D3MHZ";"677-PCN-105D3MHZ";"";"Relaismodul"
"K4";"PCN-105D3MHZ";"SamacSys_Parts:PCN105D3MHZ";"1";"TE Connectivity";"PCN-105D3MHZ";"677-PCN-105D3MHZ";"";"Relaismodul"
"LED1";"156120GS75000";"SamacSys_Parts:156120GS75000";"1";"Wurth Elektronik";"156120GS75000";"710-156120GS75000";"";"Relaismodul"
"LED2";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Relaismodul"
"LED3";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Relaismodul"
"LED4";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Relaismodul"
"LED5";"156120YS75000";"SamacSys_Parts:LEDC5017X140N";"1";"Wurth Elektronik";"156120YS75000";"710-156120YS75000";"";"Relaismodul"
"Q1";"2N7002K";"SamacSys_Parts:SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K";"";"Relaismodul"
"Q2";"2N7002K";"SamacSys_Parts:SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K";"";"Relaismodul"
"Q3";"2N7002K";"SamacSys_Parts:SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K";"";"Relaismodul"
"Q4";"2N7002K";"SamacSys_Parts:SOT95P240X120-3N";"1";"onsemi";"2N7002K";"512-2N7002K";"";"Relaismodul"
"R1";"470";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07470RL ";"603-AC1206FR-07470RL ";"";"Relaismodul"
"R2";"100";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07100RL ";"603-AC1206FR-07100RL ";"";"Relaismodul"
"R3";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RC1206FR-1310KL ";"603-RC1206FR-1310KL ";"";"Relaismodul"
"R4";"470";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07470RL ";"603-AC1206FR-07470RL ";"";"Relaismodul"
"R5";"100";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07100RL ";"603-AC1206FR-07100RL ";"";"Relaismodul"
"R6";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RC1206FR-1310KL ";"603-RC1206FR-1310KL ";"";"Relaismodul"
"R7";"470";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07470RL ";"603-AC1206FR-07470RL ";"";"Relaismodul"
"R8";"100";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07100RL ";"603-AC1206FR-07100RL ";"";"Relaismodul"
"R9";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RC1206FR-1310KL ";"603-RC1206FR-1310KL ";"";"Relaismodul"
"R10";"470";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07470RL ";"603-AC1206FR-07470RL ";"";"Relaismodul"
"R11";"100";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07100RL ";"603-AC1206FR-07100RL ";"";"Relaismodul"
"R12";"10k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RC1206FR-1310KL ";"603-RC1206FR-1310KL ";"";"Relaismodul"
"R13";"470";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-07470RL ";"603-AC1206FR-07470RL ";"";"Relaismodul"
